Tender Title,Label,Tender No and date,Plant/Unit,Tender issue date and time,Bid Submission Closing date and Time,Remarks,Label_Code
FA No. 24003013 dt.22.04.20 – COAL CHEMICALS,raw_materials,FA No. 24003013 dt.22.04.20 – COAL CHEMICALS,Bokaro Steel Plant,Apr 16 2020 12:40:00:000PM,Apr 22 2020  5:00:00:000PM, --  ,5
FA No. 24003014 dt. 29.04.20 – SECONDARY STEEL,raw_materials,FA No. 24003014 dt. 29.04.20 – SECONDARY STEEL,Bokaro Steel Plant,Apr 20 2020  1:30:00:000PM,Apr 29 2020  6:00:00:000PM, --  ,5
FA No. 24003015 Dt. 06.05.20 Idle Assets - SMS Mixer Bldg,none,FA No. 24003015 Dt. 06.05.20 Idle Assets - SMS Mixer Bldg,Bokaro Steel Plant,May  1 2020  1:00:00:000PM,May  6 2020  6:00:00:000PM, --  ,4
FA No. 24003016 dt. 06.05.20 – IDLE ASSETS –Coke Oven Battery No.-6,electronics,FA No. 24003016 dt. 06.05.20 – IDLE ASSETS –Coke Oven Battery No.-6,Bokaro Steel Plant,May  1 2020  1:00:00:000PM,May  6 2020  6:00:00:000PM, --  ,1
FA No. 24003017 dt. 06.05.20 – IDLE ASSETS,none,FA No. 24003017 dt. 06.05.20 – IDLE ASSETS,Bokaro Steel Plant,May  1 2020  1:00:00:000PM,May  6 2020  6:00:00:000PM, --  ,4
FA No. 24003018 dt. 06.05.20 – E-WASTE LOTS,none,FA No. 24003018 dt. 06.05.20 – E-WASTE LOTS,Bokaro Steel Plant,May  1 2020  1:00:00:000PM,May  6 2020  6:00:00:000PM, --  ,4
FA No. 24003018 dt. 13.05.20 – E-WASTE LOTS,none,FA No. 24003018 dt. 13.05.20 – E-WASTE LOTS,Bokaro Steel Plant,May  8 2020  1:10:00:000PM,May 13 2020  6:00:00:000PM, --  ,4
FA No. 24003019 dt. 06.05.20 – WASTE / SCRAP ROLLS,none,FA No. 24003019 dt. 06.05.20 – WASTE / SCRAP ROLLS,Bokaro Steel Plant,May  1 2020  1:00:00:000PM,May  6 2020  6:00:00:000PM, --  ,4
FA No. 24003020 dt. 06.05.20 – WASTE & SCRAP STORES,none,FA No. 24003020 dt. 06.05.20 – WASTE & SCRAP STORES,Bokaro Steel Plant,May  1 2020  1:00:00:000PM,May  6 2020  6:00:00:000PM, --  ,4
FA No. 24003021 dt. 06.05.20 – SECONDARY STEEL,raw_materials,FA No. 24003021 dt. 06.05.20 – SECONDARY STEEL,Bokaro Steel Plant,May  1 2020  1:00:00:000PM,May  6 2020  6:00:00:000PM, --  ,5
FA No. 24003022 dt.06.05.20 – COAL CHEMICALS,raw_materials,FA No. 24003022 dt.06.05.20 – COAL CHEMICALS,Bokaro Steel Plant,May  1 2020  1:00:00:000PM,May  6 2020  6:00:00:000PM, --  ,5
FA No. 24003023 dt. 06.05.20 – WASTE PRODUCTS,none,FA No. 24003023 dt. 06.05.20 – WASTE PRODUCTS,Bokaro Steel Plant,May  1 2020  1:00:00:000PM,May  6 2020  6:00:00:000PM, --  ,4
"FA No. 24003024 dt. 06.05.20 – ARGON,LIQUID",raw_materials,"FA No. 24003024 dt. 06.05.20 – ARGON,LIQUID",Bokaro Steel Plant,May  1 2020  1:00:00:000PM,May  6 2020  6:00:00:000PM, --  ,5
FA No. 24003025 dt. 06.05.20 – Air Cooled BF Slag (Metal Free),none,FA No. 24003025 dt. 06.05.20 – Air Cooled BF Slag (Metal Free),Bokaro Steel Plant,May  1 2020  1:05:00:000PM,May  6 2020  6:00:00:000PM, --  ,4
FA No. 24003026 Dt. 13.05.20 Idle Assets - SMS Mixer Bldg,none,FA No. 24003026 Dt. 13.05.20 Idle Assets - SMS Mixer Bldg,Bokaro Steel Plant,May  8 2020  1:00:00:000PM,May 13 2020  6:00:00:000PM, --  ,4
FA No. 24003027 dt. 13.05.20 – IDLE ASSETS –Coke Oven Battery No.-6,electronics,FA No. 24003027 dt. 13.05.20 – IDLE ASSETS –Coke Oven Battery No.-6,Bokaro Steel Plant,May  8 2020  1:05:00:000PM,May 13 2020  6:00:00:000PM, --  ,1
FA No. 24003028 dt. 13.05.20 – IDLE ASSETS,none,FA No. 24003028 dt. 13.05.20 – IDLE ASSETS,Bokaro Steel Plant,May  8 2020  1:05:00:000PM,May 13 2020  6:00:00:000PM, --  ,4
FA No. 24003029 dt. 13.05.20 – WASTE / SCRAP ROLLS,none,FA No. 24003029 dt. 13.05.20 – WASTE / SCRAP ROLLS,Bokaro Steel Plant,May  8 2020  1:13:00:000PM,May 13 2020  6:00:00:000PM, --  ,4
FA No. 24003030 dt. 13.05.20 – WASTE & SCRAP STORES,none,FA No. 24003030 dt. 13.05.20 – WASTE & SCRAP STORES,Bokaro Steel Plant,May  8 2020  1:15:00:000PM,May 13 2020  6:00:00:000PM, --  ,4
FA No. 24003031 dt. 13.05.20 – SECONDARY STEEL,raw_materials,FA No. 24003031 dt. 13.05.20 – SECONDARY STEEL,Bokaro Steel Plant,May  8 2020  1:18:00:000PM,May 13 2020  6:00:00:000PM, --  ,5
FA No. 24003032 dt.13.05.20 – COAL CHEMICALS,raw_materials,FA No. 24003032 dt.13.05.20 – COAL CHEMICALS,Bokaro Steel Plant,May  8 2020  1:20:00:000PM,May 13 2020  6:00:00:000PM, --  ,5
FA No. 24003033 dt. 13.05.20 – WASTE PRODUCTS,none,FA No. 24003033 dt. 13.05.20 – WASTE PRODUCTS,Bokaro Steel Plant,May  8 2020  1:22:00:000PM,May 13 2020  6:00:00:000PM, --  ,4
"FA No. 24003034 dt. 13.05.20 – ARGON,LIQUID",raw_materials,"FA No. 24003034 dt. 13.05.20 – ARGON,LIQUID",Bokaro Steel Plant,May  8 2020  1:25:00:000PM,May 13 2020  6:00:00:000PM, --  ,5
FA No. 24003035 dt. 13.05.20 – Air Cooled BF Slag (Metal Free),none,FA No. 24003035 dt. 13.05.20 – Air Cooled BF Slag (Metal Free),Bokaro Steel Plant,May  8 2020  1:30:00:000PM,May 13 2020  6:00:00:000PM, --  ,4
FA No. 24003036 Dt. 20.05.20 Idle Assets - SMS Mixer Bldg,none,FA No. 24003036 Dt. 20.05.20 Idle Assets - SMS Mixer Bldg,Bokaro Steel Plant,May 15 2020  1:25:00:000PM,May 20 2020  6:00:00:000PM, --  ,4
FA No. 24003037 dt. 20.05.20 – IDLE ASSETS –Coke Oven Battery No.-6,electronics,FA No. 24003037 dt. 20.05.20 – IDLE ASSETS –Coke Oven Battery No.-6,Bokaro Steel Plant,May 15 2020  1:25:00:000PM,May 20 2020  6:00:00:000PM, --  ,1
FA No. 24003038 dt. 20.05.20 – IDLE ASSETS,none,FA No. 24003038 dt. 20.05.20 – IDLE ASSETS,Bokaro Steel Plant,May 15 2020  1:40:00:000PM,May 20 2020  6:00:00:000PM, --  ,4
FA No. 24003039 dt. 20.05.20 – E-WASTE LOTS,none,FA No. 24003039 dt. 20.05.20 – E-WASTE LOTS,Bokaro Steel Plant,May 15 2020  2:00:00:000PM,May 20 2020  6:00:00:000PM, --  ,4
FA No. 24003039 dt. 20.05.20 – E-WASTE LOTS,none,FA No. 24003039 dt. 20.05.20 – E-WASTE LOTS,Bokaro Steel Plant,May 15 2020  2:00:00:000PM,May 20 2020  6:00:00:000PM, --  ,4
FA No. 24003040 dt. 20.05.20 – WASTE / SCRAP ROLLS,none,FA No. 24003040 dt. 20.05.20 – WASTE / SCRAP ROLLS,Bokaro Steel Plant,May 15 2020  2:15:00:000PM,May 20 2020  6:00:00:000PM, --  ,4
FA No. 24003041 dt. 20.05.20 – WASTE & SCRAP STORES,none,FA No. 24003041 dt. 20.05.20 – WASTE & SCRAP STORES,Bokaro Steel Plant,May 15 2020  2:15:00:000PM,May 20 2020  6:00:00:000PM, --  ,4
FA No. 24003041 dt. 20.05.20 – WASTE & SCRAP STORES,none,FA No. 24003041 dt. 20.05.20 – WASTE & SCRAP STORES,Bokaro Steel Plant,May 15 2020  2:15:00:000PM,May 20 2020  6:00:00:000PM, --  ,4
FA No. 24003042 dt. 20.05.20 – SECONDARY STEEL,raw_materials,FA No. 24003042 dt. 20.05.20 – SECONDARY STEEL,Bokaro Steel Plant,May 15 2020  2:15:00:000PM,May 20 2020  6:00:00:000PM, --  ,5
FA No. 24003043 dt.20.05.20 – COAL CHEMICALS,raw_materials,FA No. 24003043 dt.20.05.20 – COAL CHEMICALS,Bokaro Steel Plant,May 15 2020  2:20:00:000PM,May 20 2020  6:00:00:000PM, --  ,5
FA No. 24003044 dt. 20.05.20 – WASTE PRODUCTS,none,FA No. 24003044 dt. 20.05.20 – WASTE PRODUCTS,Bokaro Steel Plant,May 15 2020  2:20:00:000PM,May 20 2020  6:00:00:000PM, --  ,4
FA No. 24003045 dt. 20.05.20 – Air Cooled BF Slag (Metal Free),none,FA No. 24003045 dt. 20.05.20 – Air Cooled BF Slag (Metal Free),Bokaro Steel Plant,May 15 2020  2:20:00:000PM,May 20 2020  6:00:00:000PM, --  ,4
"FA No. 24003046 dt. 20.05.20 – ARGON,LIQUID",raw_materials,"FA No. 24003046 dt. 20.05.20 – ARGON,LIQUID",Bokaro Steel Plant,May 15 2020  2:25:00:000PM,May 20 2020  6:00:00:000PM, --  ,5
SALE OF DEFECTIVE /CUTTUNG STEEL SCRAP ITEMS,none,FA10100380 DATED 21.03.2020,Bhilai Steel Plant,Mar 23 2020 12:00:00:000PM,Mar 27 2020  7:30:00:000PM,Corr,4
SALE OF DEF./CUTTING STEEL SCRAP ITEMS,none,FA10100384 DATED 15.05.2020,Bhilai Steel Plant,May 12 2020  1:35:00:000PM,May 15 2020  5:30:00:000PM, --  ,4
OLFA FOR SALE OF IRON ORE FINES,raw_materials,FA10140371 DT.28.11.2019,Bhilai Steel Plant,Nov 28 2019  8:00:00:000PM,Jun 22 2020  5:00:00:000PM,Corr,5
SALE OFMISC NON FERROUS ITEMS,hardware,FA10140383 DATED 28.04.2020,Bhilai Steel Plant,Apr 24 2020  6:45:00:000PM,Apr 28 2020  5:30:00:000PM, --  ,2
SALE OF MISC NON-FERROUS ITEMS,hardware,FA10140384/14.05.2020,Bhilai Steel Plant,May 12 2020  4:30:00:000PM,May 14 2020  5:30:00:000PM, --  ,2
SALE OF MISC FERROUS ITEMS,hardware,FA10150257/14.05.2020,Bhilai Steel Plant,May 12 2020  4:15:00:000PM,May 14 2020  5:30:00:000PM, --  ,2
"Sale of 5000 MT Cinder Ash laying inside plant at SRU, Bhilai",none,"Forward Auction Ref. No- SRUB/CC/DISP (11)/Cinder Ash/07/2020/64 , Dt. 13-05-2020.",SAIL REFRACTORY UNIT,May 14 2020  6:00:00:000PM,May 26 2020  4:30:00:000PM, --  ,4
SUPPLY OF 4 NOS. 100 KVA TRANSFORMERS FOR KIOM,machine,"KBR/MM/275/049619213017/OT/194, dt 04.03.2020",Raw Materials Division (RMD),Mar  6 2020  3:00:00:000PM,Mar 27 2020 11:00:00:000AM, --  ,3
Supply of Nutrition System Medicines to KBR MBR General Hosptal,none,KM/PUR/MED/31/049517904631/08 Dated: 24/04/2020,Raw Materials Division (RMD),Apr 27 2020  6:00:00:000PM,May 22 2020  3:00:00:000PM, --  ,4
"E–TENDER FOR SUPPLY ,INSTALLATION & COMMISIONING OF 220 V, 250 AH VRLA BATTERY BANK  FOR MIOM PLANT, RAW MATERIAL DIVISION  AT MEGHAHATUBURU IRON ORE MINES (MIOM)",electronics,MBR/MM/01/050219115590/OT/32 dtd 12.05.2020,Raw Materials Division (RMD),May 12 2020  3:00:00:000PM,Jun 10 2020  3:00:00:000PM, --  ,1
,none,MD-G/20-21/RATE CONTRACT/040 DT: 23.04.2020,Raw Materials Division (RMD),Apr 23 2020  6:00:00:000PM,May 29 2020 10:30:00:000AM,Corr,4
RATE CONTRACT FOR  PROCUREMENT OF HOSES OF HEMM GUA ORE MINES 2020,hardware,MD-G/20/401-44-07/069820010006/56  DT:29/04/2020,Raw Materials Division (RMD),May  5 2020 12:00:00:000PM,Jun  2 2020  3:30:00:000PM, --  ,2
,none,MD-GOM/19/111-077/06981914356/220 DT. 05/02/2020,Raw Materials Division (RMD),Feb  5 2020 12:00:00:000PM,Mar 30 2020  4:00:00:000PM,Corr,4
"Invitation for “Expression of Interest (EoI) from suitable parties for sale of “OLD DOLOMITE PLANT WITH ITS GCP UNIT” along with associated equipment/plant on “As is where is” basis at ISP, Burnpur”",none,MKT/20-21/153 dated 06.04.2020,IISCO Steel Plant,Apr  6 2020 12:00:00:000PM,May  4 2020  3:00:00:000PM, --  ,4
"Augmentation of Power Distribution System at Management Training Institute (MTI), Steel Authority of India Ltd. (SAIL), Ranchi, Jharkhand, India.",none,MTI/NIT/91/MAINT/APD/  Dated: 05.05.2020,Management  Training  Institute (MTI),May  5 2020  7:00:00:000PM,Jun  5 2020  3:30:00:000PM, --  ,4
"supply and installation of fire detection and alarm system at MTI, SAIL, Ranchi-2,Jharkhand, India.",electronics,MTI/NIT/92/MAINT/FDA/ Dated: 08.05.2020,Management  Training  Institute (MTI),May  8 2020  8:00:00:000PM,Jun  9 2020  3:30:00:000PM, --  ,1
"PROCUREMENT OF SLEEPER,PSC, BG,DWN:RDSO-T 2496",none,Open Tender RFX 8000013687 Dated 31.03.2020,Bhilai Steel Plant,Apr 13 2020  8:00:00:000PM,May 30 2020  1:00:00:000PM,Corr,4
Procurement of Wooden Liner,raw_materials,P/100031200/9000047040 dt 6/4/20,Alloy Steels Plant,Apr  6 2020  5:00:00:000PM,Apr 21 2020 12:30:00:000PM, --  ,5
Procurement of Trumpet for Bottom Pouring,hardware,P/302041113/9000046220 dt 11/2/20,Alloy Steels Plant,Feb 12 2020  8:00:00:000PM,Apr 17 2020 12:30:00:000PM,Corr,2
Procurement of Ingot Mould 500-0,hardware,P/302041122/9000046645 dt 7/3/20,Alloy Steels Plant,Mar  9 2020 12:00:00:000PM,Apr 17 2020 12:30:00:000PM,Corr,2
Procurement of Iron Pyrite ( ferro Sulphur),raw_materials,P/502061037/9000046132 dt 18/2/20,Alloy Steels Plant,Feb 18 2020  6:00:00:000PM,Mar 27 2020 12:30:00:000PM,Corr,5
Procurement of Ferro Tungsten,raw_materials,P/502061041/9000046420 dt 27/2/20,Alloy Steels Plant,Feb 27 2020  4:00:00:000PM,Apr 17 2020 12:30:00:000PM,Corr,5
Procurement of Burnt Dolomite,raw_materials,P/502061042/9000046516 dt 29/2/20,Alloy Steels Plant,Feb 29 2020  8:00:00:000PM,Apr 17 2020 12:30:00:000PM,Corr,5
Procurement of HC Fe CR,raw_materials,P/502061045/9000046515 dt 29/2/20,Alloy Steels Plant,Feb 29 2020  8:00:00:000PM,May 26 2020 12:30:00:000PM,Corr,5
Mini Truck,machine,PE/MM/19-20/97/63 Dated:29/03/2020,Raw Materials Division (RMD),Apr  2 2020 10:00:00:000AM,May  8 2020  3:01:00:000PM,Corr,3
"OPERATING PHARMACY AT SAIL DISPENSARIES AT ISPAT BHAWAN, LODI ROAD, NEW DELHI & SCOPE MINAR, LAXMI NAGAR, DELHI OFFICES",none,PERS/ITB & Med./Dispensary/2020,Personnel Directorate,May 16 2020  6:00:00:000PM,Jun  5 2020  3:00:00:000PM, --  ,4
Supply and Installation of 2 (Two) nos. high frequency 100 mA portable X-ray machine for Burnpur Hospital of SAIL-ISP through OTE basis.,electronics,PROJ/55/DMHS/792/069(2018)/1016 dated 31.01.2020,IISCO Steel Plant,Jan 31 2020  4:00:00:000PM,Jun 10 2020  1:00:00:000PM,Corr,1
Supply and Installation of 1 (One) no. Compurized Radiography (CR) Facility,electronics,PROJ/55/DMHS/792/070(2018)/1020 Date-18.03.2020,IISCO Steel Plant,Mar 18 2020  5:30:00:000PM,Jun 10 2020  1:00:00:000PM,Corr,1
Procurement (supply & demonstration) of 2 (two) nos. partial discharge measuring kit for Power Distribution of SAIL-ISP through OTE basis.,electronics,PROJ/55/PD/079(2019)/1015 dated 31.01.2020,IISCO Steel Plant,Jan 31 2020  4:00:00:000PM,Apr 24 2020  1:00:00:000PM,Corr,1
Procurement of Medium Carbon Silico Manganese,raw_materials,PU-A012002 dt 26.04.2019,Salem Steel Plant,Apr 27 2019  8:00:00:000PM,Mar 31 2020  3:00:00:000PM,Corr,5
Procurement of Burnt Dolomite,raw_materials,PU-A012004 dt 06.05.2019,Salem Steel Plant,May  7 2019  6:00:00:000PM,Apr 30 2020  3:00:00:000PM, --  ,5
Procurement of High Carbon Ferro Chrome,raw_materials,PU-A012024 dt 06.12.2019,Salem Steel Plant,Dec  7 2019  5:00:00:000PM,Nov 30 2020  3:00:00:000PM, --  ,5
Procurement of Calcined dolomite,raw_materials,PU-I012001 dt 26.04.2019,Salem Steel Plant,Apr 27 2019  8:00:00:000PM,Mar 31 2020  3:00:00:000PM,Corr,5
Procurement of Quick Lime,raw_materials,PU-I012011 dt 11.01.2020,Salem Steel Plant,Jan 14 2020  7:00:00:000PM,Dec 31 2020  3:00:00:000PM, --  ,5
"Supply, Installation, Demonstration of performance, Commissioning, Training and Post Warranty maintenance (for 12 months after warranty period) of an integrated system comprising of field emission scanning electron microscope (FESEM) with energy dispersive spectroscopy (EDS), Electron Back-Scattered Diffraction (EBSD) & Sample Preparation units at RDCIS, SAIL, Ranchi, Jharkhand, India",electronics,RD/MM-FP&ML(APP-01)/38134 Dated: 26/02/2020,Research & Development Centre for Iron & Steel (RDCIS),Feb 26 2020  5:30:00:000PM,Jun  2 2020 12:30:00:000PM,Corr,1
"Supply, Installation, Commissioning, Demonstration of Performance, Training and Post Warranty Maintenance (for 1 year after warranty period) of Annealing Simulation Furnace for Rolling Mill Laboratory at RDCIS, SAIL, Ranchi, Jharkhand, India",machine,RD/MM-FR&T(APP-01)/35115 Dated: 20/02/2020,Research & Development Centre for Iron & Steel (RDCIS),Feb 20 2020  4:00:00:000PM,May 19 2020 12:30:00:000PM,Corr,3
"Design & Engineering, Supply, Installation, Commissioning, demonstration of performance, Training and Post Warranty Maintenance (for three years after warranty period) of Hydrogen Atmosphere Annealing Furnace at RDCIS, SAIL, Ranchi, Jharkhand, India",machine,RD/MM-LP&ML(APP-01)/38133 Dated: 26/02/2020,Research & Development Centre for Iron & Steel (RDCIS),Feb 26 2020  5:35:00:000PM,Jun  2 2020 12:30:00:000PM,Corr,3
"Supply, Installation, Demonstration of performance, Commissioning, Training and Post Warranty maintenance (for 12 months after warranty period) of Portable Optical Emission Spectrometer at SML, RDCIS, SAIL, Ranchi, Jharkhand, India",machine,RD/MM-SML(BR-01)/38127 Dated: 20/02/2020,Research & Development Centre for Iron & Steel (RDCIS),Feb 20 2020  5:15:00:000PM,Jun 12 2020 12:30:00:000PM,Corr,3
Notice for Forward Auction for sale of – High MnO Slag Fines (+) 3mm,none,Ref. No. SAILCFP/MKTG/2019-20/FA-13 (WP) Dt. 05/03/2020,Chandrapur FerroAlloys Plant (CFP),Mar  5 2020  4:00:00:000PM,Mar 27 2020 12:00:00:000PM, --  ,4
Revised FA No. 24003033 dt. 13.05.20 – WASTE PRODUCTS,none,Revised FA No. 24003033 dt. 13.05.20 – WASTE PRODUCTS,Bokaro Steel Plant,May  9 2020 12:25:00:000PM,May 13 2020  6:00:00:000PM, --  ,4
Centralised Procurement Of Graphite Electrodes for SAIL Plants,hardware,RFQ No. SAIL/ISP/CPA/Graphite Electrodes/2020-21/1 dated 06/05/2020,IISCO Steel Plant,May 12 2020  7:00:00:000PM,May 21 2020  3:00:00:000PM, --  ,2
"Installation of Electro Slag Remelting (ESR) Unit for making special quality steel ingots at SML, RDCIS, SAIL, Ranchi, Jharkhand, India on turnkey basis",machine,RFQ No.: RD/MM-SML(APP-01)/38132 Dated: 29/02/2020,Research & Development Centre for Iron & Steel (RDCIS),Feb 29 2020  4:30:00:000PM,Jun  5 2020 12:30:00:000PM,Corr,3
"Design, Supply, Erection and Commissioning of Vacuum Arc Degassing (VAD) unit along with scrap melting and related facilities at steel making laboratory (SML), RDCIS, SAIL, Ranchi, Jharkhand, India on turnkey basis",machine,RFQ No.: RD/MM-SML(APP-01)/38135 Dated: 29/02/2020,Research & Development Centre for Iron & Steel (RDCIS),Feb 29 2020  4:30:00:000PM,Jun  5 2020 12:30:00:000PM,Corr,3
CPA Ferro Vanadium,raw_materials,"RFx No.  5000000086, Doc. No.: RFQ No.SAIL/BSP-CPA/Fe Vanadium/Dec’19-Nov’20/2019-21/002 Dt 13.04.20",Bhilai Steel Plant,Apr 13 2020  4:00:00:000PM,May  9 2020  1:00:00:000PM,Corr,5
Supply of Slag pot ( Slag Ladle cup ) for SMS-3,hardware,RFx No:8000013613 date:11.03.2020,Bhilai Steel Plant,Mar 18 2020  5:30:00:000PM,May 26 2020  1:00:00:000PM,Corr,2
Procurement of Drill Roads for BF-7,machine,RFx:8000014142 Date:24.04.2020,Bhilai Steel Plant,Apr 25 2020  1:00:00:000PM,May 23 2020  1:00:00:000PM,Corr,3
SUPPLY OF ONE NUMBER FULLY AUTOAMTED CLIA ANALYSER FOR KBR MBR HOSPITAL AT SAIL -RMD KIRIBURU IRON ORE MINES,machine,RMD/C/MM/AUTOMATED CLIA/KIOM-0300 Dt.27.12.2019,Raw Materials Division (RMD),Mar 16 2020  5:00:00:000PM,Mar 31 2020 11:00:00:000AM, --  ,3
"SUPPLY, ERECTION AND COMMISSIONING OF 12 [TWELVE] NUMBERS, 30 METERS HIGH MAST LIGHTING TOWERS AT SAIL RMD MINES, LOCATED IN STATE OF ODISHA AND JHARKHAND",none,RMD/C/MM/CAPEX/HIGH MAST  DATED 19.05.2020,Raw Materials Division (RMD),May 19 2020  8:15:00:000PM,Jun 30 2020 11:00:00:000AM, --  ,4
SUPPLY OF SOFT STARTER WITH ACCESSORIES AND SUPPLY WITH COMMISSIONING OF VVVFD PANELS AT KIRIBURU IRON ORE MINES,electronics,RMD/C/MM/CAPEX/KIOM-0303 dated 07.03.2020,Raw Materials Division (RMD),Mar  7 2020  1:00:00:000PM,Apr  3 2020 11:00:00:000AM, --  ,1
"Supply of HT Cables at SAIL – RMD, Gua Ore Mines, Meghahatuburu Iron Ore Mines and Kiriburu Iron Ore Mines, located in the State of Jharkhand and Barsua Iron Mines and Bolani Ore Mines, located in the State of Odisha",hardware,"RMD/C/MM/GOM–0117, BIM–0166, MIOM–0306, KIOM–0301 & BOM–0290 Dt. 20.03.2020",Raw Materials Division (RMD),Mar 20 2020 11:30:00:000AM,Apr 17 2020 11:00:00:000AM, --  ,2
Supply of Bucket Assembly for PC2000-8 Kmatsu Excavator for  KIOM and BOM,machine,RMD/C/MM/KIOM& BOM Dt. 10/04/2020,Raw Materials Division (RMD),Apr 10 2020  6:00:00:000PM,May 22 2020 11:00:00:000AM,Corr,3
Supply of 72 numbers of 27R49 tyres with O ringsfor SAIL-RMD Mines,hardware,RMD/C/MM/Tyres-27R49/19-20 Dt. 10/04/2020,Raw Materials Division (RMD),Apr 10 2020  6:00:00:000PM,Jun  2 2020 11:00:00:000AM,Corr,2
"SUPPLY OF MEDICINES & CONSUMABLES TO RMD, KOLKATA FOR A PERIOD OF 2 YEARS [2020-22]",none,RMD/K/MM/Medicine 2020-22/HO-1359 dated 7.3.2020,Raw Materials Division (RMD),Mar  7 2020  1:00:00:000PM,Mar 24 2020 11:00:00:000AM,Corr,4
Sale of salvage Items,none,S/Dos/604/19-20,Alloy Steels Plant,Mar 23 2020  7:00:00:000PM,Apr  7 2020  5:00:00:000PM, --  ,4
WATER BONDED TAPHOLE PLUGGING MASS,hardware,SAIL CFP/PUR/2019-20/ WBTPM/OTE/019,Chandrapur FerroAlloys Plant (CFP),Feb 20 2020  6:00:00:000PM,Apr  1 2020  3:00:00:000PM,Corr,2
supply & transportation of Dolomite,raw_materials,SAIL CFP/PUR/2020-21/DOLOMITE/OTE/001 dated 11/04/2020,Chandrapur FerroAlloys Plant (CFP),Apr 11 2020 12:00:00:000PM,May 25 2020  3:00:00:000PM,Corr,5
NOTICE FOR FORWARD AUCTION (FA) FOR SALE OF FERRO ALLOYS(Silico Manganese,raw_materials,SAIL-CFP/MKTG/2020-21/FA-01 Dt. 04/05/2020,Chandrapur FerroAlloys Plant (CFP),May  4 2020  9:00:00:000AM,May 11 2020 12:00:00:000PM, --  ,5
Sale of undersize Silico-manganese (0-3 & 3-10 mm),raw_materials,SAIL-CFP/MKTG/2020-21/FA-02 Dt. 15/05/2020,Chandrapur FerroAlloys Plant (CFP),May 15 2020  4:30:00:000PM,May 21 2020  3:00:00:000PM, --  ,5
Procurement of Electrode Holder Pressure Ring (Indigenous) to CFP - Chandrapur,hardware,SAIL-CFP/PUR/2019-20/PR/OTE/020 Dated 20/02/2020,Chandrapur FerroAlloys Plant (CFP),Feb 20 2020  6:00:00:000PM,Apr  1 2020  3:00:00:000PM,Corr,2
Centralised Procurement of Calcined Petrolieum Coke,raw_materials,SAIL/ PUR / CPA-DSP / CPC/2019-21/ Price Discovery Cycle – I Dated  10.05.2019,Durgapur Steel Plant,May 10 2019  3:00:00:000PM,Apr 30 2021 12:00:00:000AM, --  ,5
Procurement of Calcined Petroleum Coke,raw_materials,SAIL/ PUR / CPA-DSP / CPC/2019-21/ Price Discovery Cycle –IV Dated 15.05.2020,Durgapur Steel Plant,May 16 2020 11:30:00:000AM,May 26 2020  2:00:00:000PM, --  ,5
Centralised Procuremenmt of SiMn & HC FeMn,raw_materials,SAIL/ PUR / CPA-DSP / Silico-Mn & HC FeMn / 2018-20    Dated  10.10.2018,Durgapur Steel Plant,Oct 10 2018  2:50:00:000PM,Jun 12 2020  3:30:00:000PM, --  ,5
Procurement of Lc Fe Cr for SAIL Plants  under CPA,raw_materials,SAIL/ASP/LCFECR/2020/CPA/1/9000047302 dt 4/5/20,Alloy Steels Plant,May  6 2020  3:00:00:000PM,May 22 2020 12:30:00:000PM, --  ,5
Global Tender for Import of Low Silica Limestone (SMS Grade),raw_materials,SAIL/CPA-BSL/LSLS/IMP/20-22 Dated:30.01.2020,Bokaro Steel Plant,Feb  6 2020 10:30:00:000AM,Apr  2 2020  2:30:00:000PM,Corr,5
Cast Rolls for Medium Structural Mill,hardware,"SAIL/DSP/9000046636, Dated 12.03.2020",Durgapur Steel Plant,Mar 13 2020  6:00:00:000PM,Apr  7 2020  2:00:00:000PM, --  ,2
"Procurement of Cast Rolls for Section Mill,DSP",hardware,SAIL/DSP/9000047200,Durgapur Steel Plant,Apr 29 2020  2:00:00:000PM,Jun  2 2020  2:00:00:000PM,Corr,2
"Sale of 40,000 MT Iron Ore Fines (Fe- 61.3 percent) from BIM",raw_materials,SAIL/RMD/BIM/IOF/03/2020 Dt. 13/03/2020,Raw Materials Division (RMD),Mar 13 2020  2:00:00:000PM,May 12 2020 12:30:00:000PM,Corr,5
Barsua - Iron Ore Fines Size: (-)10 mm Fe:61.3 percent (Indicative),raw_materials,SAIL/RMD/BIM/IOF/04/2020 Dt. 07/05/2020,Raw Materials Division (RMD),May  7 2020  6:00:00:000PM,May 28 2020 12:30:00:000PM, --  ,5
Sale of 100000 T Iron Ore Fines Fe- 62.5Percent from BOM,raw_materials,SAIL/RMD/BOM/IOF/03/2020 Dt. 12/03/2020,Raw Materials Division (RMD),Mar 12 2020  8:00:00:000PM,May 11 2020 12:30:00:000PM,Corr,5
Bolani - Iron Ore Fines Size: (-)10 mm Fe: 62.5 percent (Indicative),raw_materials,SAIL/RMD/BOM/IOF/04/2020 Dt. 06/05/2020,Raw Materials Division (RMD),May  6 2020  6:00:00:000PM,May 26 2020 12:30:00:000PM, --  ,5
Supply of PHOSPHOR COPPER INGOTS,raw_materials,SAIL/SGW/NFF/PHOSPHOR COPPER INGOTS/19-20/OTE/71 and 31.03.2020,SAIL GROWTH WORKS KULTI (SGW),Apr  3 2020  1:00:00:000PM,May 21 2020  3:30:00:000PM,Corr,5
